,job_role,filing,salaries,date_posted,needed_date_range,location,posting_url
90,Software QE Engineer – Manager,6152159,$231000 ,"March 8, 2022",3-21-2022 to 3-20-2025,"Austin, TX and Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6152159/
91,SAP SD support delivery lead,6393168,$150000 ,"March 8, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6393168/
92,CAD Engineer – Logic Equivalence Checking and ECO,6377004,$190000 ,"March 8, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6377004/
93,Software Development Engineer – Test,6368578,$200000 ,"March 8, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing6368578/
94,"SoC Physical Design Engineer, PnR",6389738,$170000 ,"March 8, 2022",3-21-2022 to 3-20-2025,"Austin, TX and Santa Clara, CA",https://app-post.net/index.php/notice-of-filing-6389738/
95,Software Development Engineer – Applications,6399938,$175000 ,"March 8, 2022",9-6-2022 to 9-5-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-6399938/
96,Software Development Engineer – Applications (15-1132),6253893,$161200 ,"March 7, 2022",9-6-2022 to 9-5-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6253893/
97,Software Development Engineer- Applications (15-1132),6253872,$150500 ,"March 7, 2022",9-2-2022 to 9-1-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6253872/
98,Hardware Development Engineer,6156791,$164000 ,"March 7, 2022",9-1-2022 to 8-31-2022,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156791/
99,Engineering Project Manager,6152202,$250000 ,"March 7, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152202/
100,Software Development Engineer – Applications,6152197,$223500 ,"March 7, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152197/
101,Software Development Engineer – Test,6152180,$174156 ,"March 7, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152180/
102,Software Development Engineer,6152176,$197500 ,"March 7, 2022",3-17-2022 – 03-16-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152176/
103,Systems Design Manager,6152198,$227785 ,"March 7, 2022",3-21-2022 to 3-20-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6152198/
104,Engineering Project Manager,6392993,$155000 ,"March 7, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6392993/
105,Engineering Project Manager,6386370,$200000 ,"March 7, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6386370/
106,Software Development Engineer,6386351,$235000 ,"March 7, 2022",3-14-2022 to 3-13-2025,"Cary, NC and Charlotte, NC",https://app-post.net/index.php/noticeoffiling-c6386351/
107,Software Development Engineer – Systems,6376989,$132000 ,"March 7, 2022",3-14-2022 to 3-13-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6376989/
108,Engineering Project Manager,6385592,$205000 ,"March 7, 2022",7-21-2022 to 7-20-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6385592/
109,Business Systems Analyst,6120738,$134680 ,"March 7, 2022",7-20-2022 to 7-19-2025,"San Francisco, CA",https://app-post.net/index.php/noticeoffiling-c6120738/
110,AR/VR Software Development Engineer,6120449,$180000 ,"March 7, 2022",7-20-2022 to 7-19-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6120449/
111,Software Development Engineer,6120488,$165500 ,"March 7, 2022",7-20-2022 to 7-19-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6120488/
112,Machine Learning Engineer,6119998,$165600 ,"March 7, 2022",8-16-2022 to 8-15-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6119998/
113,Software Development Engineer – Systems,6120010,$139725 ,"March 7, 2022",7-20-2022 to 7-19-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6120010/
114,RF/Analog/Mixed Signal Engineer,6120094,$144172 ,"March 7, 2022",8-16-2022 to 8-15-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6120094/
